,Tahun,Comments,preprocessed,,
333,2020,"@dianpermatasari_18 yuhuuuiii... Dipikir pikir dulu apa2 yg mau dimakan, trus tempatnya bagus dimana?",yuhuui pikir pikir apaapa makan tempat bagus mana,,
334,2020,@dianpermatasari_18 ahhh aku trharu ??,ah trharu,,
335,2020,@gismanwwe dtg pi bunda @putriayucwr,bunda,,
336,2020,Kapan2 kita Mukbang gaesss @dianpermatasari_18  @nisfss @wardilaaulia @putriayucwr,kapankapan mukbang gaes,,
337,2020,@iceteamochi  sal ?,sal,,
338,2020,Gimana kalo mukbang minuman hits yg lagi vira dikorea tapi diatas rumah.. Bukan teras ok... This challengge dan buat minumanya pun diatas rumah ye????????,kalo mukbang minum hits vira dikorea atas rumah teras ok this challengge minumanya atas rumah ye,,
339,2020,cakep banget cici,cakep banget cici,,
340,2020,Mukbang corn dog,mukbang corn dog,,
341,2020,"@ebellaverrr itu biasanya harga perbungkus nya mayan mahal sih bagi kita yg pas""an, kya mau beli mikir dlu mending beli yg lain yg lbih murah dan mengenyangkan ?",harga bungkus nya lumayan mahal sih pas an kaya beli mikir mending beli murah kenyang,,
342,2020,Bikinn laperr,bikin laper,,
343,2020,@luciargya gaada hubungan miskin sama makanan kayak gitu,hubung miskin makan kayak,,
344,2020,mukbang makanan india,mukbang makan india,,
345,2020,Mauu mkn kek gituu?aduh tapi aplah dya orang miskin sprtiku?,kayak aduh aplah orang miskin sprtiku,,
346,2020,Kalo di tiktok rame nihh pasti:),kalo tiktok rame nih,,
347,2020,"Jual puff pastry homemade, silahkan mampir ke ig kami ?",jual puf pastry homemade sila mampir ig,,
348,2020,beli pastry nya dmn?,beli pastry nya mana,,
349,2020,Wawww lumer,wow lumer,,
350,2020,@faina_nabila04 kalo mau beji baju preloved kesini aja kak @kafca.thrifted . Selamat mencobaaaa ?,kalo beji baju preloved kesini kak thrifted selamat coba,,
351,2020,@astried_oktaviani bikin inii hayu,bikin hayu,,
352,2020,"Pinter deh, udah kaya kreatif ?",pintar deh kayak kreatif,,
353,2020,Kaka mohon bantuan doaa yaa kami di Kalsel kami kebanjiran hampir satu provinsi kena dampak nya tapi alhmdulillah ini sdh surut???boleh ngk kalo aku mau beli baju kka tapi yg prelovee yg udh ngk kepake juga ngkppa aku mau beli boleh? Nnti kalo boleh kabarin aku yaaa @siscakohl,kakak mohon bantu doa ya kalsel banjir provinsi kena dampak nya alhmdulillah surut kalo beli baju kakak prelove kepake ngkppa beli kalo kabarin ya,,
354,2020,Croisant ga itu?,croisant,,
355,2020,@viola ga we o ol nko aku tk rewangi ngentekne?,we o ol nko rewang ngentekne,,
356,2020,Gemoyyyy ??,gemoy,,
357,2020,Mukanya hampir persis,muka persis,,
358,2020,@blue.matcha_ kamu aja mbuatin aku gimana?,matcha mbuatin,,
359,2020,Kreatif ya kalian?????,kreatif ya,,
360,2020,@mommy_bunga.arkana shopee,arkana shope,,
361,2020,Bebeb endutan ?,bebeb endut,,
362,2020,@icedventilatte ayo buat kek gini,ayo kayak,,
363,2020,Aku salfoknya sama pipi kalian berduaaaa ??,salfoknya pipi dua,,
364,2020,Makin buled ya pipi KALIAN ??,buled ya pipi,,
365,2020,Enak sekali kayaknya,enak kayak,,
366,2020,@mommy_bunga.arkana di frozen food.,arkana frozen food,,
367,2020,Kak di goreng bisa gk,kak goreng,,
368,2020,Gemes sm aliya,gemas aliya,,
369,2020,Mba mau nanya beli puff pastry instan nya dmn yaa? Jd Pgn buat jg ?,mbak beli puf pastry instan nya mana ya pengin,,
370,2020,Suka liat kalian senyum d video keliatan kl kalian loyal????,suka lihat senyum video kalo loyal,,
371,2020,@may_571012  rasanya apa dah,deh,,
372,2020,@qwan.nzrdn  betul ??,nzrdn,,
373,2020,Ya kami di malaysia aja emang rasa aneh?,ya malaysia aneh,,
374,2020,Kok suaranya beda,suara beda,,
375,2020,itu beli di mana kak sica ?,beli kak sica,,
376,2020,"Emang ga enak , aku asli malaysia aja kagak bisa makan . Ogah ?",enak asli malaysia kagak makan ogah,,
377,2020,"""Mie teraneh yg pernah aku makan"" ?",mie aneh makan,,
378,2020,"Suka bgt yg mi gorengnya, nagih rasanya ???",suka banget mi goreng nagih,,
379,2020,Iya aku pernah makan dan itu wek bgt ?,iya makan wek banget,,
380,2020,@alyara_ara itu kan cermin_-,cermin,,
381,2020,Gaenak ya kasihan,gaenak ya kasihan,,
382,2020,@alyara_ara  enggak weh itu kaca itu aliyah?,weh kaca aliyah,,
383,2020,Di blkg nya ada mamah nya?,blkg nya mamah nya,,
384,2020,"kak cuba rasa mie kari dari malaysia ??,boleh ngak ?.",kak cuba mie kari malaysia,,
385,2020,Gak usah ngadi2 sis,ngadi sis,,
386,2020,Gw dari malaysia aja ngakuin mee ini emang ga enak?,gue malaysia ngakuin me enak,,
387,2020,Lu perlu lihat artis malaysia makan mee ini dan baru lu tau semua ga suka mee ini kerna rasanya ga enakkk,lu lihat artis malaysia makan me lu tau suka me kerna enak,,
388,2020,Salfok sama orang di belakang,salah fokus orang,,
389,2020,@mramdan27 sabar ngab?,sabar ngab,,
390,2020,"@clara_caroline besok gue kirim ke rumah lu ya buat cobain. Mi sulthan loh itu, jauh belinya ?",besok gue kirim rumah lu ya coba mi sulthan loh beli,,
391,2020,@stella_lupita wah ini mie yg lu blg enak banget itu kan ya,mie lu bilang enak banget ya,,
392,2020,@clara_caroline wkkwkkwk. Ternyata benern kgk enak ???,wkkwkkwk benern kgk enak,,
393,2020,"dari atas sampai sini gua cuma bisa nelen ludah , terimakasih",gua nelen ludah terimakasih,,
394,2020,@umi_ch18 favorite vina mi ?,favorite vina mi,,
395,2020,@jimshonneyc ga masuk dilidah aku?,masuk lidah,,
396,2020,@eva.ifah @umi_ch18 @kiki_setiani @vinaidza,ifah,,
397,2020,Kok semua artis yang makan mi instan boba ini kok gak masuk rasanya kayak rasanya katanya aneh padahal harganya 50 ribu lebih??,artis makan mi instan boba masuk kayak aneh harga ribu,,
398,2020,@deswita8256 kan nyoba.. Gimana to,coba,,
399,2020,Hampir Saja Aku Mau Beli Selusin Buat Ta'jil,beli lusin tajil,,
400,2020,Trnyata ada beginian gan @vio.letazalea ?,gan letazalea,,
401,2020,"ngakak yg terakhirr, mj teraneh yg perna aku makan?",akak mj aneh makan,,
402,2020,next try Santan Nasi Lemak Pak Nasser dari pesawat airasia?,next try santan nasi lemak nasser pesawat airasia,,
403,2020,@zakiauthor ih bener banget kesukaan gue itu,ih banget suka gue,,
404,2020,@_sgivanti Malaysia pun ga nerima ini KSKSKSKS,malaysia terima ksksksks,,
405,2020,@pikrukkriuk ancur cuuuu wadapak ?,hancur cu wadapak,,
406,2020,@syahidatunharafiah rasa ayam bawang dan Indomie goreng adalah legenda kami ? hidup anak kost,ayam bawang indomie goreng legenda hidup anak kost,,
407,2020,Nih kedoyanan lu @iankurnia_,nih doyan lu,,
408,2020,@zakiauthor gue setuju. Penolong anak kost. Penolong akhir bulan?,gue tuju tolong anak kost tolong,,
409,2020,@intanpd3 gapingin buu????,gapingin bu,,
410,2020,Suaranya ? aestetic ?,suara aestetic,,
411,2020,Di sini gue bersyukur dan pengin teriak2 ke dunia bahwa: Alhamdulillah Indonesia punya Indomie yang ga pakai Boba dan kuas teh manis ?hidup Indomie mie enak sejuta umat,gue syukur pengin teriak dunia alhamdulillah indonesia indomie pakai boba kuas teh manis hidup indomie mie enak juta umat,,
412,2020,Tinggal beli popmie kasih toping cincau aja ? lbih enak ?,tinggal beli popmie kasih toping cincau enak,,
413,2020,@ekyfahmiaa hhih:(,hhih,,
414,2020,"@ekyfahmiaa wididaaaw, baru diomong kemarenn",wididaaw omong kemarin,,
415,2020,@auraa.wrr MieBobo?,wr miebobo,,
416,2020,Gaesss @imtihr @darategar @mutiarafinsani,gaes,,
417,2020,Udh gk enak mlh tambah es batu,enak es batu,,
418,2020,Ya Allah bunnnn???,ya allah bun,,
419,2020,Gak suka tapi ko di makan,suka makan,,
420,2020,Kala aku udah subscribe vidio kakak lo,subscribe vidio kakak lo,,
421,2020,Gue salfok,gue salah fokus,,
422,2020,Kalo laper pasti nikmat,kalo laper nikmat,,
423,2020,Kalau gue makan aja ??,gue makan,,
424,2020,@editzz.alwi_ halal,alwi halal,,
425,2020,Coba review popmie yg pake nasi ?,coba review popmie pakai nasi,,
426,2020,Terima kasih ya org kaya kerana test makan kami????,terima kasih ya orang kayak rana test makan,,
427,2020,Ini reall gk yh kalau reall aku mau follow,real ya real follow,,
428,2020,Itu dibelakang siapa,belakang,,
429,2020,k halal gk?,halal,,
430,2020,@illaaaaaaaaaaaaaaaa @mariam.siti97,siti,,
431,2020,"Fans from malaysia,to me this mi boba taste disgusting ? but it's unique mamee in malaysia?",fan from malaysia me this mi boba taste disgusting but itusi unique mame malaysia,,
432,2020,@amaliawisab wkkwkwkkwk dikasih juga ogah ye,wkkwkwkkwk kasih ogah ye,,
433,2020,"@nisaaa.21_ Fix lidah gue gacocok, emg enakan indomie kemana??", fix lidah gue gacocok enak indomie mana,,
434,2020,@nrhalisahhhh disaranin pke es batu lgii.,disaranin pakai es batu,,
435,2020,"@nrhalisahhhh  wadidaww, yg punya ide siapa sih ???",wadidaw ide sih,,
436,2020,@cakraa.wardanaa indomie malaysia syg rsa teh susu?,wardana indomie malaysia sayang rsa teh susu,,
437,2020,Mo muntah aku liatnya,muntah lihat,,
438,2020,@erikarkml gajauh beda makan mie pake candil ??,gajauh beda makan mie pakai candil,,
439,2020,@yopsann  patut d coba?,patut coba,,
440,2020,@febiola_162 skipp,skip,,
441,2020,Salpok sama rumah nya?,salpok rumah nya,,
442,2020,Belinya dimanaa,beli mana,,
443,2020,Es mie boba ?,es mie boba,,
444,2020,Penistaan makanan T^T,nista makan tt,,
445,2020,Detail bgt liat emoji ada bakso nya kakk :') mau resep emoji lainnya kak ?,detail banget lihat emoji bakso nya kak resep emoji kak,,
446,2020,Wahhh enak??,enak,,
447,2020,ka sisca kalo senyum manis banget?,kak sisca kalo senyum manis banget,,
448,2020,Jiwa males ku menjerit ....bikin ngilerrrr @siscakohl,jiwa malas ku jerit bikin ngiler,,
449,2020,"""masak dikamar cek!"" Tapi bahan bahannya bawa dimana kak? ?",masak kamar cek bahan bahan bawa mana kak,,
450,2020,klo gua makan di kamar aja di marahin emak karna nanti jadi bau katanya,kalo gua makan kamar marahin emak bau,,
451,2020,kak.. kakak papanya yg punya mito yaa?,kak kakak papa mito ya,,
452,2020,@itz.arza_ toell,arza toel,,
453,2020,"Kirain org kaya makanan nya beli, simpel, doang eh ternyata hobby buat sendiri juga??",orang kayak makan nya beli simpel doang eh hobby,,
454,2020,Gw yg di kamar ga suka bau bau dapur ceeekkkk,gue kamar suka bau bau dapur ceek,,
455,2020,prank adenya lagi dong........,prank adeknya,,
456,2020,"Ibu nggadah semua peralatan masak, masak niki yuk.. ??? @nurr_abidin",nggadah alat masak masak nik yuk,,
457,2020,Kak supah aku liat video kakak semua bagus bangettttt???????????????,kak supah lihat video kakak bagus banget,,
458,2020,@andrians.p hahah ngakak,p hahah akak,,
459,2020,@andrians.p itukan nasi woy kue beras,p itu nasi woy kue beras,,
460,2020,Kenapa ga pake nasi???,pakai nasi,,
461,2020,@elland_smithh nih mukbang,nih mukbang,,
462,2020,Weh kalian kembar ?,weh kembar,,
463,2020,Ada hwarang astaghfirullah?????,hwarang astaghfirullah,,
464,2020,Waduh tv nya udh kek bioskop mini?,tv nya kayak bioskop mini,,
465,2020,taehyung kok di rumah sisca kohl?,taehyung rumah sisca kohl,,
466,2020,I i itu kan ada teahhyung di ty,i i teahhyung ty,,
467,2020,hwarangg ??,hwarang,,
468,2020,Aduhh itu si emphi lucu bat dahh??,aduh sih emphi lucu banget deh,,
469,2020,BTW itu film hwarang nya episode berapa,btw film hwarang nya episode,,
470,2020,Coba aja gw kaya gitu auto  berbuat kebaikan,coba gue kayak auto buat baik,,
471,2020,Kertas nya ikut nyemplung??,kertas nya nyemplung,,
472,2020,@priyanto.rudi1993 Selamat mencoba,rudi selamat coba,,
473,2020,Pink aja yg merah gaada halal,pink merah halal,,
474,2020,@haveyzee  kpn2 bli kuy,kapankapan beli yuk,,
475,2020,@rachmadua iya karna yg drakor nya itu taehyung BTS dong ?????,iya drakor nya taehyung bts,,
476,2020,Anjr Hwarang,anjr hwarang,,
477,2020,@mejij_ kita bisa nih bikin ginian ber2 ???,nih bikin dua,,
478,2020,Dia bias v? ?@cblxss.a,bias v a,,
479,2020,Kk aku mau Tabokki dong kk plisssssssssssssssssssssssssssssssssssss??????????,tabokki plis,,
480,2020,@baiq_hanaq hwarang,hwarang,,
481,2020,Nama filem ya apaa,nama filem ya,,
482,2020,Ini bukan suara asli dia ya dubbing.. Kalo dia ngomong sm yg jd host Di video beda suara. Apa cuman kedengeran nya aja ya,suara asli ya dubbing kalo omong host video beda suara cuman dengar nya ya,,
483,2020,Salfok sama drakor nya?,salah fokus drakor nya,,
484,2020,Semua dikmar,dikmar,,
485,2020,@djingga_kusuma_567 itu udh ama. MUI nya kalo yg baru belum ada soalnya MUI belum boleh ke Korea pademi tapi kata di pabrik bahanya sama,mui nya kalo mui korea pademi pabrik bahanya,,
486,2020,@zahraaaaaaaaa15_ hyyuk ?,hyyuk,,
487,2020,Salfok sma V film hwarang,salah fokus v film hwarang,,
488,2020,@phileosh oooooooooooo,o,,
489,2020,@phileosh kata kamu yg baru doang bolong tengah,doang bolong,,
490,2020,@phileosh tuhkan bolongg tengahnya,tuhkan bolong tengah,,
491,2020,@achwan_darmawan hahaha ?,hahaha,,
492,2020,@mutmainnah_tawakkal tak se enak bacot mereka,enak bacot,,
493,2020,Itu pasti lagi nonton drama Hwarang,tonton drama hwarang,,
494,2020,@djingga_kusuma_567 yg kuning udah ada logo halalnya,kuning logo halal,,
495,2020,hayuuuu cobain @annisaicha1801,hayu coba,,
496,2020,"@djingga_kusuma_567 itu udah halal dari MUI bro.. alkoholnya ada toleransi apa gmn gitu, jadi ini gpp.. beda sama bumbu korea yg kotakan itu nh itu ga halal",halal mui bro alkohol toleransi gp beda bumbu korea kota nih halal,,
497,2020,Salfok ama kim taehyung (v) ?,salah fokus kim taehyung v,,
498,2020,Kak itu kan kim taehyung,kak kim taehyung,,
499,2020,@youmiainun iya wee,iya we,,
500,2020,Salfok Hansung(V) Drama Hwarang?,salah fokus hansung v drama hwarang,,
501,2020,drakor hwarang ?,drakor hwarang,,
502,2020,@youmiainun iya slfk sma si empii,iya slfk sih empi,,
503,2020,@eviana_38 halah plastik,halah plastik,,
504,2020,@youmiainun bacot plastik,bacot plastik,,
505,2020,@nabilasalsabilah4 sama aku weeee ?,we,,
506,2020,"@nabilasalsabilah4 ada, tapi mungkin baru beberapa indomaret, g tau indomaret lain",indomaret tau indomaret,,
507,2020,@afifahfadlliyah di Indomaret bnr an ada?,indomaret an,,
508,2020,Aku yg blm pernah nyobain tokpoki bi like:??????,coba tokpoki bi like,,
509,2020,"@destyvillaaa murah kok itu, seinget ku sekitar 30.000 an doang, ada di indomaret juga",murah seinget ku an doang indomaret,,
510,2020,@lizzie.yuzuru ada penjelasannya  lihat di hansol,yuzuru jelas lihat hansol,,
511,2020,@evirafaza rasakan itu puw~,rasa puw,,
512,2020,Ak pernah mkn itu enakk?,enak,,
513,2020,@piatosss_ tapi ingat ya ada timenya?,ya timenya,,
514,2020,Dramanya Hwarang dong??,drama hwarang,,
515,2020,Dramanya hwarang?,drama hwarang,,
516,2020,Kaya ada yang jatoh ???,kayak jatuh,,
517,2020,Ada taehyung abg gue itu ??,taehyung abang gue,,
518,2020,@shintaameliatata Dita nganu,dita nganu,,
519,2020,@destyvillaaa belii apa pun juga bisaa~~,beli bisa,,
520,2020,Jadi kangen hwarang,kangen hwarang,,
521,2020,Salfok nonton hwarang pas Tae lagi,salah fokus tonton hwarang pas tae,,
522,2020,BTW A.R.M.Y. Langsung Kaget Ehh.. Ada Si Empii ??,btw arsamaya langsung kaget eh sih empi,,
523,2020,@geafrdlaa aku sudah check out kak?,check out kak,,
524,2020,@nadiraawahyyu iki lo dirr,iki lo dir,,
525,2020,@audygrisella udah biar adil kasih ke aku aja??,biar adil kasih,,
526,2020,@lizzie.yuzuru aduh itu kn klo dimasak kandungan alkoholnya hilang wkwkwkwk yakali mui ngasi logo halal klo gitu,yuzuru aduh kalo masak kandung alkohol hilang wkwkwkwk yakali mui asih logo halal kalo,,
527,2020,@audygrisella  eishhh jngan debat dia itu milikku bukan milik kalian ihhh dasar yaa ngata? in dia milik kalian,eish debat milik milik ih dasar ya ngata milik,,
528,2020,@lizzie.yuzuru MUI gak sebodoh itu cuy,yuzuru mui bodoh cuy,,
529,2020,W bukan fokus masakan nya dia plototin gw mulu??,gue fokus masakan nya plototin gue mulu,,
530,2020,Iya iya tau yang kamarnya seluas lapangan,iya iya tau kamar luas lapang,,
531,2020,@raffiiiitos dita kerang siapa woy,dita kerang woy,,
532,2020,Salpok  hwarang taehyung,salpok hwarang taehyung,,
533,2020,Hwarang dong?,hwarang,,
534,2020,@adllsptr shopee lbh murah 10k dripda indomaret,shope murah k indomaret,,
535,2020,@audygrisella eits bagi 2?,eits,,
536,2020,@dsiptrirhyu yok put,yuk put,,
537,2020,"@lizzie.yuzuru udah ada yg konfirmasi kok ntar tteoknya direbus nah pas itu ntar alkoholnya nguap jadi alkoholnya jafi 0% , makanya udah dikasih cap halal.",yuzuru konfirmasi entar tteoknya rebus pas entar alkohol nguap alkohol jafi kasih cap halal,,
538,2020,Hwarang?woga squard?,hwarang woga squard,,
539,2020,@raffiiiitos dita kerang saha?,dita kerang saha,,
540,2020,Semoga aku kebagian dapat iphone dari ka @siscakohl,moga bagi iphone kak,,
541,2020,Wow pesta??,wow pesta,,
542,2020,"Kalo kami d Papua bilang terang bulan manis, bukan martabak..",kalo papua bilang terang manis martabak,,
543,2020,Hha org Makassar pasti ini?,hha orang makassar,,
544,2020,"@sftx.mizu_ muka siapa, Sisca apa adenya??",mizu muka sisca adeknya,,
545,2020,kak sisca itu nutella nya besar amet dah??,kak sisca nutella nya amet deh,,
546,2020,Kak angkat aku jadi adikmu ?,kak angkat adik,,
547,2020,Mukanya sepertinya tertekan,muka tekan,,
548,2020,Keren bgt semua ny bisa,keren banget nya,,
549,2020,Oreo supreme dong??,oreo supreme,,
550,2020,@markobar1996 ngapain dah?,kapai deh,,
551,2020,Martabaaaknya kaaa,martabaaknya kak,,
552,2020,Selamat mencoba?,selamat coba,,
553,2020,@puspita.yasmi12 kehidupan temen nya di beli hahaa?,yasmi hidup teman nya beli haha,,
554,2020,@mhmdzkyv kalo mau temen kayaknya beli deeh.,kalo teman kayak beli deh,,
555,2020,@puspita.yasmi12 dia mah gk perlu temen kek nya?,yasmi mah teman kayak nya,,
556,2020,Kak punya temen gak ?,kak teman,,
557,2020,Jangan suka makan emas keseringan kk gak sehat..,suka makan emas sering sehat,,
558,2020,@twin_hits setiap daerah beda beda namanya,daerah beda beda nama,,
559,2020,Wah emasnya dimakan ?,emas makan,,
560,2020,Adek nya mau ngasih codet ?,adek nya asih codet,,
561,2020,terang bulan gak?? kalo martabak yg di goreng dong kak?,terang kalo martabak goreng kak,,
562,2020,Salfok nutella nya gede banget ?,salah fokus nutella nya gede banget,,
563,2020,Wawww mantap martabak karya sendiri ya ??,wow mantap martabak karya ya,,
564,2020,Nuttelaaanya gedee amatt,nuttelaanya gede,,
565,2020,@sandrapradita8 bgt bgt??,banget banget,,
566,2020,@destiindriyani_ astagaaaaa hahahah??????,astaga hahahah,,
567,2020,@sandrapradita8 suara mu bgtttttttttt!,suara mu banget,,
568,2020,Besettt nuttela nya gede bgt berapaan tuh:(,beset nuttela nya gede banget berapa tuh,,
569,2020,"@syafitri4947 ada,bahkan yg berkilo"" juga ada tapi mehong",kilo mehong,,
570,2020,Sumpah kok bisa nutella nya sebesar itu ?,sumpah nutella nya,,
571,2020,Itu nutella nya masyallsh,nutella nya masyallsh,,
572,2020,"nangis liat emas yg bisa di makan, kluarny ttep aja jd ??",menang lihat emas makan kluarny,,
573,2020,Salfok sama nutelanya karena itu kok besar banget,salah fokus nutelanya banget,,
574,2020,KK itu emas asli,emas asli,,
575,2020,Martabak tropica??,martabak tropica,,
576,2020,Tolong itu emas jangan di buang si spiteng yaaa ?,tolong emas buang sih spiteng ya,,
577,2020,Adiknya mirip Celine tam,adik celine tam,,
578,2020,@syahraoel07 iya?????,iya,,
579,2020,Makkk pen coba nuttela????,mak pengin coba nuttela,,
